Measured at,Internal temperature,Outlet temperature,Inlet temperature,Ambient temperature,Energy consumption,Volume of water drawn
2022-11-01 00:03:46+02:00,50.4,32.09,21.76,21.91,0,0
2022-11-01 00:08:49+02:00,50.16,30.79,21.76,21.84,0,0
2022-11-01 00:13:46+02:00,50.06,29.67,21.78,21.86,0,0
2022-11-01 00:18:50+02:00,49.96,28.65,21.8,21.84,0,0
2022-11-01 00:23:47+02:00,49.9,27.88,21.82,21.86,0,0
2022-11-01 00:28:50+02:00,49.64,27.09,21.8,21.84,0,0
2022-11-01 00:33:47+02:00,49.51,26.4,21.76,21.78,0,0
2022-11-01 00:38:45+02:00,49.48,25.68,21.76,21.76,0,0
2022-11-01 00:43:50+02:00,49.35,25.18,21.78,21.76,0,0
2022-11-01 00:48:47+02:00,49.32,24.63,21.73,21.71,0,0
2022-11-01 00:53:51+02:00,49.22,24.21,21.69,21.67,0,0
2022-11-01 00:58:50+02:00,49.16,23.84,21.69,21.6,0,0
2022-11-01 01:03:49+02:00,48.96,23.57,21.69,21.63,0,0
2022-11-01 01:08:46+02:00,48.93,23.31,21.65,21.6,0,0
2022-11-01 01:13:51+02:00,48.87,23.11,21.65,21.58,0,0
2022-11-01 01:18:46+02:00,48.7,22.82,21.65,21.56,0,0
2022-11-01 01:23:47+02:00,48.61,22.64,21.6,21.54,0,0
2022-11-01 01:28:49+02:00,48.48,22.46,21.58,21.5,0,0
2022-11-01 01:33:50+02:00,48.45,22.26,21.56,21.5,0,0
2022-11-01 01:38:45+02:00,48.25,22.13,21.54,21.5,0,0
2022-11-01 01:43:51+02:00,48.19,21.97,21.52,21.47,0,0
2022-11-01 01:48:46+02:00,48.12,21.84,21.52,21.41,0,0
2022-11-01 01:53:47+02:00,47.93,21.78,21.52,21.39,0,0
2022-11-01 01:58:49+02:00,47.93,21.69,21.5,21.45,0,0
2022-11-01 02:03:51+02:00,47.87,21.54,21.43,21.36,0,0
2022-11-01 02:08:45+02:00,47.75,21.47,21.41,21.34,0,0
2022-11-01 02:13:47+02:00,47.65,21.32,21.39,21.36,0,0
2022-11-01 02:18:48+02:00,47.71,21.3,21.39,21.32,0,0
2022-11-01 02:23:50+02:00,47.53,21.19,21.39,21.32,0,0
2022-11-01 02:28:51+02:00,47.46,21.08,21.34,21.28,0,0
2022-11-01 02:33:46+02:00,47.34,21.1,21.34,21.26,0,0
2022-11-01 02:38:47+02:00,47.28,21.04,21.28,21.26,0,0
2022-11-01 02:43:49+02:00,47.25,20.97,21.26,21.26,0,0
2022-11-01 02:48:50+02:00,47.18,20.95,21.28,21.23,0,0
2022-11-01 02:53:45+02:00,47.12,20.91,21.26,21.23,0,0
2022-11-01 02:58:46+02:00,46.96,20.84,21.26,21.23,0,0
2022-11-01 03:03:47+02:00,46.93,20.78,21.23,21.17,0,0
2022-11-01 03:08:49+02:00,46.9,20.8,21.21,21.17,0,0
2022-11-01 03:13:50+02:00,46.84,20.76,21.19,21.17,0,0
2022-11-01 03:18:45+02:00,46.78,20.76,21.17,21.1,0,0
2022-11-01 03:23:46+02:00,46.66,20.65,21.19,21.13,0,0
2022-11-01 03:28:48+02:00,46.66,20.67,21.19,21.13,0,0
2022-11-01 03:33:49+02:00,46.69,20.69,21.1,21.15,0,0
2022-11-01 03:38:51+02:00,46.57,20.6,21.15,21.13,0,0
2022-11-01 03:43:45+02:00,46.48,20.58,21.13,21.1,0,0
2022-11-01 03:48:47+02:00,46.39,20.6,21.1,21.08,0,0
2022-11-01 03:53:48+02:00,46.36,20.56,21.1,21.08,0,0
2022-11-01 03:58:49+02:00,46.24,20.54,21.08,21.04,0,0
2022-11-01 04:03:51+02:00,46.21,20.56,21.04,21.06,0,0
2022-11-01 04:08:45+02:00,46.21,20.52,21.08,21.04,0,0
2022-11-01 04:13:47+02:00,46.15,20.47,21.04,21.04,0,0
2022-11-01 04:18:48+02:00,46.09,20.45,21.04,21.02,0,0
2022-11-01 04:23:50+02:00,46,20.41,21.02,21.02,0,0
2022-11-01 04:28:51+02:00,46.06,20.43,21.02,21.02,0,0
2022-11-01 04:33:46+02:00,45.97,20.43,21,21.02,0,0
2022-11-01 04:38:47+02:00,45.88,20.41,21.02,21.02,0,0
2022-11-01 04:43:49+02:00,45.76,20.41,21.02,21,0,0
2022-11-01 04:48:50+02:00,45.79,20.41,21,20.97,0,0
2022-11-01 04:53:45+02:00,45.67,20.36,21,20.97,0,0
2022-11-01 04:58:46+02:00,45.61,20.36,20.97,20.97,0,0
2022-11-01 05:03:49+02:00,45.64,20.36,20.95,20.95,0,0
2022-11-01 05:08:51+02:00,45.61,20.32,20.97,20.97,0,0
2022-11-01 05:13:45+02:00,45.55,20.34,20.93,20.95,0,0
2022-11-01 05:18:47+02:00,45.55,20.34,20.93,20.93,0,0
2022-11-01 05:23:48+02:00,45.41,20.34,20.91,20.93,0,0
2022-11-01 05:28:46+02:00,45.47,20.32,20.91,20.93,0,0
2022-11-01 05:33:46+02:00,45.35,20.23,20.93,20.93,0,0
2022-11-01 05:38:47+02:00,45.35,20.21,20.89,20.89,0,0
2022-11-01 05:43:45+02:00,45.29,20.21,20.86,20.84,0,0
2022-11-01 05:48:48+02:00,45.38,20.17,20.86,20.89,0,0
2022-11-01 05:53:46+02:00,45.26,20.17,20.82,20.86,0,0
2022-11-01 05:58:45+02:00,45.2,20.15,20.8,20.84,0,0
2022-11-01 06:03:46+02:00,45.11,20.15,20.84,20.82,0,0
2022-11-01 06:08:47+02:00,45.08,20.17,20.84,20.84,0,0
2022-11-01 06:13:49+02:00,45.05,20.17,20.82,20.89,0,0
2022-11-01 06:18:50+02:00,45.05,20.15,20.8,20.82,0,0
2022-11-01 06:23:45+02:00,45.05,20.15,20.78,20.86,0,0
2022-11-01 06:28:46+02:00,45.05,20.15,20.82,20.82,0,0
2022-11-01 06:33:47+02:00,44.97,20.13,20.8,20.8,0,0
2022-11-01 06:38:49+02:00,44.88,20.08,20.76,20.82,0,0
2022-11-01 06:43:50+02:00,44.91,20.08,20.78,20.76,0,0
2022-11-01 06:48:45+02:00,44.79,20.08,20.76,20.8,0,0
2022-11-01 06:53:46+02:00,44.85,20.1,20.78,20.76,0,0
2022-11-01 06:58:48+02:00,44.88,20.1,20.73,20.8,0,0
2022-11-01 07:03:49+02:00,44.82,20.1,20.76,20.78,0,0
2022-11-01 07:08:51+02:00,44.7,20.1,20.76,20.78,0,0
2022-11-01 07:13:45+02:00,44.7,20.13,20.73,20.76,0,0
2022-11-01 07:18:47+02:00,44.64,20.1,20.76,20.76,0,0
2022-11-01 07:23:49+02:00,44.61,20.06,20.71,20.76,0,0
2022-11-01 07:28:50+02:00,44.58,20.06,20.76,20.76,0,0
2022-11-01 07:33:45+02:00,44.47,20.1,20.71,20.76,0,0
2022-11-01 07:38:46+02:00,44.55,20.08,20.73,20.76,0,0
2022-11-01 07:43:48+02:00,44.47,20.1,20.73,20.73,0,0
2022-11-01 07:48:49+02:00,44.5,20.06,20.71,20.78,0,0
2022-11-01 07:53:51+02:00,44.38,20.1,20.71,20.73,0,0
2022-11-01 07:58:45+02:00,44.41,20.08,20.73,20.76,0,0
2022-11-01 08:03:47+02:00,44.35,20.06,20.65,20.73,0,0
2022-11-01 08:08:48+02:00,44.29,20.1,20.67,20.73,0,0
2022-11-01 08:13:50+02:00,44.41,20.1,20.67,20.65,0,0
2022-11-01 08:18:51+02:00,44.23,20.08,20.63,20.67,0,0
2022-11-01 08:23:46+02:00,44.2,20.08,20.65,20.69,0,0
2022-11-01 08:28:47+02:00,44.29,20.13,20.65,20.65,0,0
2022-11-01 08:33:49+02:00,44.23,20.1,20.6,20.65,0,0
2022-11-01 08:38:50+02:00,44.11,20.1,20.58,20.65,0,0
2022-11-01 08:43:45+02:00,44.2,20.15,20.6,20.67,0,0
2022-11-01 08:48:46+02:00,44.17,20.15,20.6,20.6,0,0
2022-11-01 08:53:48+02:00,44.05,20.1,20.6,20.58,0,0
2022-11-01 08:58:49+02:00,44.05,20.13,20.58,20.63,0,0
2022-11-01 09:03:51+02:00,43.94,20.13,20.58,20.56,0,0
2022-11-01 09:08:45+02:00,44.05,20.1,20.58,20.58,0,0
2022-11-01 09:13:47+02:00,43.97,20.13,20.56,20.6,0,0
2022-11-01 09:18:48+02:00,43.97,20.1,20.58,20.58,0,0
2022-11-01 09:23:50+02:00,43.94,20.13,20.58,20.58,0,0
2022-11-01 09:28:45+02:00,43.94,20.15,20.58,20.6,0,0
2022-11-01 09:31:09+02:00,44,20.21,20.6,20.6,0,0
2022-11-01 09:33:50+02:00,43.91,20.26,20.6,20.6,0,0
2022-11-01 09:38:51+02:00,43.94,20.41,20.56,20.63,0,0
2022-11-01 09:43:46+02:00,43.91,20.71,20.6,20.65,0,0
2022-11-01 09:48:47+02:00,43.85,21.02,20.6,20.67,0,0
2022-11-01 09:53:49+02:00,43.88,21.26,20.63,20.73,0,0
2022-11-01 09:58:50+02:00,43.88,21.56,20.73,20.76,0,0
2022-11-01 10:03:45+02:00,43.85,21.82,20.69,20.78,0,0
2022-11-01 10:08:46+02:00,43.88,22.02,20.78,20.8,0,0
2022-11-01 10:13:48+02:00,43.74,22.22,20.76,20.84,0,0
2022-11-01 10:18:49+02:00,43.77,22.48,20.78,20.82,0,0
2022-11-01 10:23:51+02:00,43.8,22.6,20.76,20.89,0,0
2022-11-01 10:28:45+02:00,43.8,22.75,20.8,20.91,0,0
2022-11-01 10:33:47+02:00,43.71,22.91,20.84,20.86,0,0
2022-11-01 10:38:46+02:00,43.77,23.02,20.86,20.97,0,0
2022-11-01 10:43:48+02:00,43.68,23.2,20.89,20.97,0,0
2022-11-01 10:48:49+02:00,43.68,23.31,20.91,20.97,0,0
2022-11-01 10:53:51+02:00,43.71,23.37,20.95,21,0,0
2022-11-01 10:58:46+02:00,43.11,38.97,20.91,21.1,0,30
2022-11-01 11:03:47+02:00,41.62,40.64,22.04,21.76,0,35
2022-11-01 11:08:48+02:00,41.56,39.1,22.11,21.95,0,0
2022-11-01 11:13:50+02:00,41.54,37.33,22.13,22,0,0
2022-11-01 11:18:45+02:00,41.62,35.6,22.13,21.97,0,0
2022-11-01 11:23:46+02:00,41.59,33.92,22.11,21.97,0,0
2022-11-01 11:28:47+02:00,41.56,32.66,22.08,21.93,0,0
2022-11-01 11:33:49+02:00,41.59,31.45,22.04,21.95,0,0
2022-11-01 11:38:50+02:00,41.56,30.41,21.97,21.91,0,0
2022-11-01 11:43:45+02:00,41.54,29.51,22.02,21.86,0,0
2022-11-01 11:48:47+02:00,41.56,28.68,22,21.82,0,0
2022-11-01 11:53:48+02:00,41.56,28.02,21.95,21.84,0,0
2022-11-01 11:58:50+02:00,41.43,27.45,21.93,21.82,0,0
2022-11-01 12:03:51+02:00,41.48,26.84,21.91,21.78,0,0
2022-11-01 12:08:46+02:00,41.45,26.4,21.86,21.78,0,0
2022-11-01 12:13:47+02:00,41.45,26,21.82,21.76,0,0
2022-11-01 12:18:49+02:00,41.43,25.59,21.84,21.73,0,0
